Document,Document|urn:iso:std:iso:20022:tech:xsd:camt.056.001.08
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlInstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlEndToEndId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlTxId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/TxId
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlUETR,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/UETR
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmAmt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmAmt
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/OrgnlIntrBkSttlmDt,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/IntrBkSttlmDt
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Nm|,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Id/OrgId/AnyBIC|A123FDU3O23,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Id/OrgId/LEI|AB123456789876543212,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Id/OrgId/Othr/Id|998888777,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Id/OrgId/Othr/SchmeNm/Cd|G001,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/Id/OrgId/Othr/Issr|testfilepac,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/CtctDtls/Nm|HARI,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/CtctDtls/PhneNb|+91-9998888777,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/CtctDtls/MobNb|+91-9998888777,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/CtctDtls/EmailAdr|test@test.com,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/CtctDtls/Dept|str1234,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Orgtr/CtctDtls/PrefrdMtd|MAIL,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/Rsn/Cd|FRAD,Document
Document/FIToFIPmtCxlReq/Undrlyg/TxInf/CxlRsnInf/AddtlInf|NA,Document
